Latitude: 2828.9995960000 , Longitude: 7706.2723760000 
Latitude: 2828.9996200000 N, Longitude: 7706.2727780000 E
Latitude: 2828.9995840000 N, Longitude: 7706.2732940000 E
Latitude: 2828.9994220000 N, Longitude: 7706.2743920000 E
Latitude: 2828.9996200000 N, Longitude: 7706.2750640000 E
Latitude: 2828.9998480000 N, Longitude: 7706.2759580000 E
Latitude: 2828.9998240000 N, Longitude: 7706.2769180000 E
Latitude: 2829.0002980000 N, Longitude: 7706.2776380000 E
Latitude: 2829.0004660000 N, Longitude: 7706.2784960000 E
Latitude: 2829.0003400000 N, Longitude: 7706.2798580000 E
Latitude: 2829.0000880000 N, Longitude: 7706.2810820000 E
Latitude: 2828.9998600000 N, Longitude: 7706.2825220000 E
Latitude: 2828.9992960000 N, Longitude: 7706.2840820000 E
Latitude: 2828.9983840000 N, Longitude: 7706.2859540000 E
Latitude: 2828.9974900000 N, Longitude: 7706.2876460000 E
Latitude: 2828.9968300000 N, Longitude: 7706.2896680000 E
Latitude: 2828.9962360000 N, Longitude: 7706.2918280000 E
Latitude: 2828.9961220000 N, Longitude: 7706.2945160000 E
Latitude: 2828.9958880000 N, Longitude: 7706.2969040000 E
Latitude: 2828.9956720000 N, Longitude: 7706.2986140000 E
Latitude: 2828.9949400000 N, Longitude: 7706.3005040000 E
Latitude: 2828.9945020000 N, Longitude: 7706.3021540000 E
Latitude: 2828.9944300000 N, Longitude: 7706.3038460000 E
Latitude: 2828.9943820000 N, Longitude: 7706.3050160000 E
Latitude: 2828.9941780000 N, Longitude: 7706.3061620000 E
Latitude: 2828.9942920000 N, Longitude: 7706.3077700000 E
Latitude: 2828.9942560000 N, Longitude: 7706.3095760000 E
Latitude: 2828.9940100000 N, Longitude: 7706.3107340000 E
Latitude: 2828.9939020000 N, Longitude: 7706.3125580000 E
Latitude: 2828.9942500000 N, Longitude: 7706.3144420000 E
Latitude: 2828.9943460000 N, Longitude: 7706.3169320000 E
Latitude: 2828.9944660000 N, Longitude: 7706.3191460000 E
Latitude: 2828.9944720000 N, Longitude: 7706.3215460000 E
Latitude: 2828.9943400000 N, Longitude: 7706.3240600000 E
Latitude: 2828.9940880000 N, Longitude: 7706.3261840000 E
Latitude: 2828.9936080000 N, Longitude: 7706.3277380000 E
Latitude: 2828.9932240000 N, Longitude: 7706.3293040000 E
Latitude: 2828.9927080000 N, Longitude: 7706.3310740000 E
Latitude: 2828.9920900000 N, Longitude: 7706.3338700000 E
Latitude: 2828.9918800000 N, Longitude: 7706.3367740000 E
Latitude: 2828.9917360000 N, Longitude: 7706.3398760000 E
Latitude: 2828.9915080000 N, Longitude: 7706.3424680000 E
Latitude: 2828.9911900000 N, Longitude: 7706.3444840000 E
Latitude: 2828.9909080000 N, Longitude: 7706.3467640000 E
Latitude: 2828.9907340000 N, Longitude: 7706.3488160000 E
Latitude: 2828.9904820000 N, Longitude: 7706.3506160000 E
Latitude: 2828.9901940000 N, Longitude: 7706.3523620000 E
Latitude: 2828.9898580000 N, Longitude: 7706.3537300000 E
Latitude: 2828.9894920000 N, Longitude: 7706.3552120000 E
Latitude: 2828.9889880000 N, Longitude: 7706.3571920000 E
Latitude: 2828.9886520000 N, Longitude: 7706.3593880000 E
Latitude: 2828.9883460000 N, Longitude: 7706.3613740000 E
Latitude: 2828.9881840000 N, Longitude: 7706.3633780000 E
Latitude: 2828.9878120000 N, Longitude: 7706.3650460000 E
Latitude: 2828.9869060000 N, Longitude: 7706.3666840000 E
Latitude: 2828.9858920000 N, Longitude: 7706.3684180000 E
Latitude: 2828.9849500000 N, Longitude: 7706.3701880000 E
Latitude: 2828.9838760000 N, Longitude: 7706.3717540000 E
Latitude: 2828.9827480000 N, Longitude: 7706.3731640000 E
Latitude: 2828.9813320000 N, Longitude: 7706.3745680000 E
Latitude: 2828.9802640000 N, Longitude: 7706.3759900000 E
Latitude: 2828.9790460000 N, Longitude: 7706.3772500000 E
Latitude: 2828.9776900000 N, Longitude: 7706.3785340000 E
Latitude: 2828.9761060000 N, Longitude: 7706.3794340000 E
Latitude: 2828.9747680000 N, Longitude: 7706.3801420000 E
Latitude: 2828.9732920000 N, Longitude: 7706.3810060000 E
Latitude: 2828.9717980000 N, Longitude: 7706.3820440000 E
Latitude: 2828.9701180000 N, Longitude: 7706.3830460000 E
Latitude: 2828.9686360000 N, Longitude: 7706.3839700000 E
Latitude: 2828.9671720000 N, Longitude: 7706.3850440000 E
Latitude: 2828.9655880000 N, Longitude: 7706.3856800000 E
Latitude: 2828.9642200000 N, Longitude: 7706.3853200000 E
Latitude: 2828.9625640000 N, Longitude: 7706.3847320000 E
Latitude: 2828.9609080000 N, Longitude: 7706.3838440000 E
Latitude: 2828.9595100000 N, Longitude: 7706.3825000000 E
Latitude: 2828.9585860000 N, Longitude: 7706.3807360000 E
Latitude: 2828.9579920000 N, Longitude: 7706.3790140000 E
Latitude: 2828.9573800000 N, Longitude: 7706.3770700000 E
Latitude: 2828.9569720000 N, Longitude: 7706.3750780000 E
Latitude: 2828.9564260000 N, Longitude: 7706.3731220000 E
Latitude: 2828.9561260000 N, Longitude: 7706.3711300000 E
Latitude: 2828.9557540000 N, Longitude: 7706.3689940000 E
Latitude: 2828.9554480000 N, Longitude: 7706.3670080000 E
Latitude: 2828.9550760000 N, Longitude: 7706.3649440000 E
Latitude: 2828.9547340000 N, Longitude: 7706.3630000000 E
